fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r7/1p3pk1/2p1nqp1/3p3p/p2Pn2P/P1PN1NP1/1P3PK1/3QR3 b - - 6 30,60,?,e4d6,-23,1,e4d6,0.0823,0.0983,0.1214,0.1605,g6g5,b7b6,b7b6,e4d6,0.0,0.1605,0.0782,False
r7/1p3pk1/2p1nqp1/3p3p/p2Pn2P/P1PN2P1/1P1NRPK1/3Q4 b - - 10 32,64,?,f6f5,-12,13,f6f5,0.111,0.1144,0.1015,0.0744,e4d2,e4d6,e4d6,e4d6,24.0,0.1144,-0.0366,False
r7/1p3pk1/2p1nqp1/3pN2p/p2Pn2P/P1PN2P1/1P2RPK1/3Q4 b - - 14 34,68,?,f6e7,-14,5,f6e7,0.0454,0.0675,0.0886,0.0912,g6g5,g6g5,e4d6,e4d6,16.0,0.0912,0.0458,False
rnbq1rk1/pppp2pp/4p3/5p2/2PPn3/P1B3P1/1PQ1PP1P/R3KBNR b KQ - 0 8,16,?,d7d6,-37,2,b7b6,0.0672,0.0661,0.0707,0.0793,b7b6,b7b6,b7b6,b7b6,26.0,0.0793,0.0121,False
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPn3/P1B2NP1/1PQ1PPBP/R3K2R b KQ - 3 10,20,?,e4c3,-18,14,e4c3,0.2797,0.2495,0.2328,0.1242,d7d6,d7d6,d7d6,d7d6,50.0,0.2797,-0.1555,False
rn1q1rk1/pbp3pp/1p1pp3/5p2/2PP4/P1Q2NP1/1P2PPBP/R4RK1 b - - 1 12,24,?,b8d7,-26,10,a7a5,0.6731,0.8087,0.8736,0.8967,b8d7,b8d7,b8d7,b8d7,0.0,0.8967,0.2236,False
r2q1rk1/1bpn2pp/1p1pp3/p4p2/2PP4/PPQ3P1/4PPBP/R3NRK1 b - - 2 14,28,?,b7g2,-10,15,b7g2,0.8727,0.939,0.9706,0.984,b7g2,b7g2,b7g2,b7g2,0.0,0.984,0.1113,False
r2q1rk1/2pn2pp/1p1p4/p3Pp2/2P5/PPQ3P1/4PPNP/R4RK1 b - - 0 16,32,?,d7e5,-11,2,d7e5,0.5267,0.7091,0.8083,0.7774,d7e5,d7e5,d7e5,d7e5,0.0,0.8083,0.2507,False
r4rk1/2pq2pp/1p1p4/p3np2/2P2N2/PPQ3P1/4PP1P/R2R2K1 b - - 3 18,36,?,d7f7,0,15,d7c6,0.0618,0.1232,0.1825,0.1912,e5g4,a8e8,a8e8,a8e8,17.0,0.1912,0.1294,False
r5k1/2p2rpp/1pqp4/p2Nnp2/2P5/PPQ3P1/3RPP1P/R5K1 b - - 7 20,40,?,a8f8,-30,4,h7h5,0.1039,0.1806,0.2546,0.2343,b6b5,b6b5,a8f8,a8e8,2.0,0.2546,0.1304,False
r5k1/2p2rp1/1pqp4/4np1p/pNP4P/PPQ3P1/3RPP2/R5K1 b - - 1 22,44,?,c6e4,37,5,c6e8,0.2929,0.3031,0.3214,0.3524,c6e4,c6e4,c6e4,c6e4,0.0,0.3524,0.0595,False
r3q1k1/2p2rp1/1p1p4/5p1p/pPP3nP/P1QN2P1/3RPP2/R5K1 b - - 0 24,48,?,g4f6,-49,51,f7e7,0.0518,0.0573,0.0471,0.03,f7e7,e8e4,e8e4,e8e4,82.0,0.0573,-0.0218,False
r3q1k1/2p3p1/1p1p4/3Rrp1p/pPP2NnP/P1Q3P1/4PP2/R5K1 b - - 4 26,52,?,g4f6,-96,9,g7g6,0.1888,0.2662,0.3073,0.2889,e5d5,g4f6,g4f6,g4f6,0.0,0.3073,0.1001,False
