fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r4rk1/p1p3pp/2Q5/2bpq3/3Nn3/2P1P3/PP4PP/RN2R1K1 b - - 0 16,32,oO6LSgeO,c5d6,475,264,e5g5,0.3837,0.486,0.5319,0.5081,c5d6,c5d6,c5d6,c5d6,0.0,0.5319,0.1244,False
1r3rk1/p1p3pp/2Q1N3/2bp2q1/4n3/N1P1P3/PP4PP/R3R1K1 b - - 4 18,36,oO6LSgeO,c5e3,1995,0,c5e3,0.7363,0.8222,0.8462,0.8397,c5e3,c5e3,c5e3,c5e3,0.0,0.8462,0.1034,False
r2q1rk1/ppp1bppp/2npbn2/4p1B1/2B1P3/P1NP1N1P/1PP2PP1/R2QK2R b KQ - 2 8,16,362W6xQP,f6e4,27,19,e6c4,0.0044,0.0047,0.0051,0.0046,e6c4,e6c4,e6c4,e6c4,77.0,0.0051,0.0002,False
r2q1rk1/ppp1bppp/3p1n2/4p1B1/2PNP3/P1N4P/1PP2PP1/R2QK2R b KQ - 0 10,20,362W6xQP,e5d4,-73,362,e5d4,0.9964,0.9989,0.9997,0.9998,e5d4,e5d4,e5d4,e5d4,0.0,0.9998,0.0034,False
r2q1rk1/ppp1Bppp/3p4/8/2Ppn3/P6P/1PP1NPP1/R2QK2R b KQ - 0 12,24,362W6xQP,d8e7,61,470,d8e7,0.9974,0.9982,0.9983,0.9988,d8e7,d8e7,d8e7,d8e7,0.0,0.9988,0.0014,False
r4rk1/ppp1qppp/3p4/2n5/2P5/P3Q2P/1PP1NPP1/R3K2R b KQ - 2 14,28,362W6xQP,e7e3,204,55,e7f6,0.5078,0.4476,0.3254,0.2532,e7e3,e7e3,e7e3,e7f6,41.0,0.5078,-0.2546,False
4rrk1/ppp2ppp/3p1q2/2n5/2P5/P6P/1PPQNPP1/2KR3R b - - 6 16,32,362W6xQP,c5e4,368,161,c5e4,0.4818,0.428,0.336,0.2221,c5e4,c5e4,f6f2,f6f2,159.0,0.4818,-0.2597,False
4rrk1/ppp2ppp/3p4/8/2PRn3/P6P/1PP1NPP1/2K4R b - - 0 18,36,362W6xQP,e4f2,270,44,e4f2,0.8911,0.9042,0.9155,0.9215,e4f2,e4f2,e4f2,e4f2,0.0,0.9215,0.0304,False
4rrk1/ppp2ppp/3p4/8/2PRnN2/P6P/1PP3P1/2K1R3 b - - 3 20,40,362W6xQP,f7f5,235,51,e4c5,0.0925,0.1589,0.2574,0.3878,e4g3,e4c5,e4c5,f7f5,0.0,0.3878,0.2953,False
4r1k1/ppp2ppp/3p4/2n5/1PPR1N2/P6P/2P3P1/2K5 b - - 0 22,44,362W6xQP,e8e4,242,47,c5d7,0.0382,0.036,0.0416,0.0434,c5e6,c5e6,c5e6,c5e6,71.0,0.0434,0.0052,False
4r1k1/ppp2ppp/3P4/4n3/1P1R1N2/P6P/2P3P1/2K5 b - - 0 24,48,362W6xQP,c7d6,0,24,c7d6,0.9052,0.9379,0.9579,0.9591,c7d6,c7d6,c7d6,c7d6,0.0,0.9591,0.0539,False
4r1k1/pp3pp1/7p/3Rn3/1P3N2/P6P/2P3P1/2K5 b - - 1 26,52,362W6xQP,e5c4,32,32,e5c4,0.6854,0.6683,0.59,0.4687,e5c4,e5c4,e5c4,e5c4,0.0,0.6854,-0.2167,False
4r1k1/1p3pp1/p6p/3R4/PPn5/3N3P/2P3P1/2K5 b - - 1 28,56,362W6xQP,c4b6,0,27,c4e3,0.1194,0.089,0.0563,0.0321,c4e3,c4e3,e8e2,e8e2,28.0,0.1194,-0.0873,False
4r1k1/3R1pp1/p6p/1P6/1P6/3Nn2P/2P3P1/2K5 b - - 0 30,60,362W6xQP,a6b5,-28,474,a6b5,0.9539,0.974,0.9846,0.987,a6b5,a6b5,a6b5,a6b5,0.0,0.987,0.0331,False
4r1k1/5pp1/7p/1R6/1P6/3N3P/2P3n1/2K5 b - - 0 32,64,362W6xQP,e8c8,-93,29,e8c8,0.0064,0.0059,0.0063,0.0067,g2e3,g2e3,g2e3,g2e3,73.0,0.0067,0.0003,False
2r3k1/5pp1/7p/1RN5/1P3n1P/8/2P5/2K5 b - - 0 34,68,362W6xQP,g7g5,-6,11,f4e2,0.0902,0.0718,0.0882,0.154,f4e2,f4d5,f4d5,f4g2,10.0,0.154,0.0638,False
r2qk2r/pp1n1ppp/2pbbn2/3pp1B1/4P2N/2NP2P1/PPP2PBP/R2QK2R b KQkq - 0 8,16,dW2TqdCT,h7h6,71,23,d5d4,0.3499,0.2402,0.1574,0.1197,h7h6,d5d4,d5d4,d5d4,67.0,0.3499,-0.2302,False
r2qk2r/pp1n1pp1/2pbbB1p/4p3/3pP2N/3P2P1/PPP1NPBP/R2QK2R b KQkq - 0 10,20,dW2TqdCT,d8f6,107,27,d8f6,0.345,0.281,0.2344,0.2447,d7f6,d7f6,d7f6,d7f6,24.0,0.345,-0.1003,False
r3k2r/pp1n1p2/2pbbq1p/4p1p1/3pP3/3P1NP1/PPP1NPBP/R2Q1RK1 b kq - 1 12,24,dW2TqdCT,e8c8,152,5,e6g4,0.3178,0.2159,0.1491,0.1442,e8c8,h6h5,h6h5,h6h5,-6.0,0.3178,-0.1736,False
r3k2r/pp1n1p2/2pbq2p/4p1p1/3pP1b1/3P1NP1/PPPQ1PBP/R1N2RK1 b kq - 5 14,28,dW2TqdCT,e8c8,127,1,e8g8,0.2408,0.169,0.1328,0.1502,e8c8,g4h3,g4h3,g4h3,89.0,0.2408,-0.0906,False
r4rk1/pp1n1p2/2pbq2p/4p1p1/3pP3/3P2Pb/PPPQNPBP/R3NRK1 b - - 9 16,32,dW2TqdCT,h3g2,63,15,d7f6,0.4555,0.4325,0.5048,0.6314,h3g2,h3g2,h3g2,h3g2,0.0,0.6314,0.1759,False
